economy,Country,year,gdp_per_capita,country_ISO3,country_name
IDN,Indonesia,2001,732.307093405708,IDN,Indonesia
HND,Honduras,2001,1132.1648753329,HND,Honduras
GTM,Guatemala,2001,1537.68663578252,GTM,Guatemala
GIN,Guinea,2001,483.085120214741,GIN,Guinea
ETH,Ethiopia,2001,118.457204255261,ETH,Ethiopia
CRI,Costa Rica,2001,3985.12984506207,CRI,Costa Rica
COL,Colombia,2001,2472.99084035833,COL,Colombia
CIV,Cote d'Ivoire,2001,924.727294962066,CIV,Côte d'Ivoire
CHN,China,2001,1065.40597574519,CHN,China
BRA,Brazil,2001,3176.28975052524,BRA,Brazil
BGD,Bangladesh,2001,394.65641001891,BGD,Bangladesh
ARG,Argentina,2001,7141.47507662826,ARG,Argentina
VNM,Viet Nam,2002,445.132861817313,VNM,Vietnam
UGA,Uganda,2002,241.984688408335,UGA,Uganda
TZA,Tanzania,2002,402.649047851563,TZA,Tanzania
TUR,Turkiye,2002,3591.08628982587,TUR,Türkiye
RWA,Rwanda,2002,234.043016755733,RWA,Rwanda
PER,Peru,2002,2007.37019626753,PER,Peru
NIC,Nicaragua,2002,1014.3339042591,NIC,Nicaragua
MWI,Malawi,2002,428.210439838398,MWI,Malawi
MEX,Mexico,2002,7983.03398381759,MEX,Mexico
LKA,Sri Lanka,2002,834.936014905338,LKA,Sri Lanka
KEN,Kenya,2002,402.936385605382,KEN,Kenya
JPN,Japan,2002,32820.7936433254,JPN,Japan
IRN,"Iran, Islamic Rep.",2002,1891.25756091033,IRN,Iran
IND,India,2002,469.149928973927,IND,India
IDN,Indonesia,2002,881.002913569131,IDN,Indonesia
HND,Honduras,2002,1132.49965345317,HND,Honduras
GTM,Guatemala,2002,1669.33517469705,GTM,Guatemala
GIN,Guinea,2002,495.916073559269,GIN,Guinea
ETH,Ethiopia,2002,109.593813612988,ETH,Ethiopia
CRI,Costa Rica,2002,4067.71851429092,CRI,Costa Rica
COL,Colombia,2002,2428.92969771584,COL,Colombia
CIV,Cote d'Ivoire,2002,967.815864415991,CIV,Côte d'Ivoire
CHN,China,2002,1163.55957673426,CHN,China
BRA,Brazil,2002,2855.94017137049,BRA,Brazil
BGD,Bangladesh,2002,393.886422327628,BGD,Bangladesh
ARG,Argentina,2002,2569.69963519124,ARG,Argentina
VNM,Viet Nam,2003,497.117089249256,VNM,Vietnam
UGA,Uganda,2003,250.71543664681,UGA,Uganda
TZA,Tanzania,2003,422.18359375,TZA,Tanzania
TUR,Turkiye,2003,4649.63668068586,TUR,Türkiye
RWA,Rwanda,2003,249.012274982252,RWA,Rwanda
PER,Peru,2003,2129.44114197634,PER,Peru
NIC,Nicaragua,2003,1021.35216668794,NIC,Nicaragua
MWI,Malawi,2003,383.348596852642,MWI,Malawi
MEX,Mexico,2003,7434.0746485155,MEX,Mexico
LKA,Sri Lanka,2003,946.382255128072,LKA,Sri Lanka
KEN,Kenya,2003,442.898457253405,KEN,Kenya
JPN,Japan,2003,35387.0374203599,JPN,Japan
IRN,"Iran, Islamic Rep.",2003,2208.99636552406,IRN,Iran
IND,India,2003,544.143133545002,IND,India
IDN,Indonesia,2003,1043.2105838671,IDN,Indonesia
HND,Honduras,2003,1156.08162681357,HND,Honduras
GTM,Guatemala,2003,1722.54701910774,GTM,Guatemala
GIN,Guinea,2003,566.48540588068,GIN,Guinea
ETH,Ethiopia,2003,116.800491132777,ETH,Ethiopia
CRI,Costa Rica,2003,4173.14856415514,CRI,Costa Rica
COL,Colombia,2003,2311.94218760291,COL,Colombia
CIV,Cote d'Ivoire,2003,1111.17135087887,CIV,Côte d'Ivoire
CHN,China,2003,1306.97245408557,CHN,China
BRA,Brazil,2003,3090.6068907839,BRA,Brazil
BGD,Bangladesh,2003,426.74880754362,BGD,Bangladesh
ARG,Argentina,2003,3320.47775133903,ARG,Argentina
VNM,Viet Nam,2004,565.452284586212,VNM,Vietnam
UGA,Uganda,2004,292.38185796262,UGA,Uganda
TZA,Tanzania,2004,450.385284423828,TZA,Tanzania
TUR,Turkiye,2004,5979.6054216148,TUR,Türkiye
RWA,Rwanda,2004,269.540446333402,RWA,Rwanda
PER,Peru,2004,2397.25147277714,PER,Peru
NIC,Nicaragua,2004,1098.62118662335,NIC,Nicaragua
MWI,Malawi,2004,404.674248445428,MWI,Malawi
MEX,Mexico,2004,7849.66759649565,MEX,Mexico
LKA,Sri Lanka,2004,1028.62068132555,LKA,Sri Lanka
KEN,Kenya,2004,463.662781300121,KEN,Kenya
JPN,Japan,2004,38298.9801712303,JPN,Japan
IRN,"Iran, Islamic Rep.",2004,2672.4226651404,IRN,Iran
IND,India,2004,624.258826510066,IND,India
IDN,Indonesia,2004,1126.84004447173,IDN,Indonesia
HND,Honduras,2004,1215.13995412761,HND,Honduras
GTM,Guatemala,2004,1840.91184884,GTM,Guatemala
GIN,Guinea,2004,584.897740538081,GIN,Guinea
ETH,Ethiopia,2004,133.169812538096,ETH,Ethiopia
CRI,Costa Rica,2004,4431.0117207843,CRI,Costa Rica
COL,Colombia,2004,2818.57195413044,COL,Colombia
CIV,Cote d'Ivoire,2004,1199.82524528546,CIV,Côte d'Ivoire
CHN,China,2004,1530.92726215723,CHN,China
BRA,Brazil,2004,3663.82262497811,BRA,Brazil
BGD,Bangladesh,2004,455.614016909798,BGD,Bangladesh
ARG,Argentina,2004,4242.02099089422,ARG,Argentina
VNM,Viet Nam,2005,710.746759994861,VNM,Vietnam
UGA,Uganda,2005,330.405402707025,UGA,Uganda
TZA,Tanzania,2005,483.334869384766,TZA,Tanzania
TUR,Turkiye,2005,7331.85429430255,TUR,Türkiye
RWA,Rwanda,2005,324.016863847189,RWA,Rwanda
PER,Peru,2005,2706.66947297608,PER,Peru
NIC,Nicaragua,2005,1183.30214010175,NIC,Nicaragua
MWI,Malawi,2005,414.361121984475,MWI,Malawi
MEX,Mexico,2005,8671.75891885163,MEX,Mexico
LKA,Sri Lanka,2005,1207.21994764165,LKA,Sri Lanka
KEN,Kenya,2005,523.456312433863,KEN,Kenya
JPN,Japan,2005,37812.8950199948,JPN,Japan
IRN,"Iran, Islamic Rep.",2005,3132.0508192007,IRN,Iran
IND,India,2005,710.488080408949,IND,India
IDN,Indonesia,2005,1238.21447629488,IDN,Indonesia
HND,Honduras,2005,1304.70039153826,HND,Honduras
GTM,Guatemala,2005,2046.46611650758,GTM,Guatemala
GIN,Guinea,2005,463.17768685098,GIN,Guinea
ETH,Ethiopia,2005,158.243458082465,ETH,Ethiopia
CRI,Costa Rica,2005,4703.00721784778,CRI,Costa Rica
COL,Colombia,2005,3456.06610874512,COL,Colombia
CIV,Cote d'Ivoire,2005,1197.74616979415,CIV,Côte d'Ivoire
CHN,China,2005,1777.64496828464,CHN,China
BRA,Brazil,2005,4827.78165890291,BRA,Brazil
BGD,Bangladesh,2005,480.08585075452,BGD,Bangladesh
ARG,Argentina,2005,5067.65342293276,ARG,Argentina
VNM,Viet Nam,2006,807.756645117054,VNM,Vietnam
UGA,Uganda,2006,346.518255310647,UGA,Uganda
TZA,Tanzania,2006,475.746734619141,TZA,Tanzania
TUR,Turkiye,2006,7990.08251407245,TUR,Türkiye
RWA,Rwanda,2006,356.995022901154,RWA,Rwanda
PER,Peru,2006,3129.55996496982,PER,Peru
NIC,Nicaragua,2006,1248.17371577788,NIC,Nicaragua
MWI,Malawi,2006,440.822149023873,MWI,Malawi
MEX,Mexico,2006,9512.63575346699,MEX,Mexico
LKA,Sri Lanka,2006,1388.89739119932,LKA,Sri Lanka
KEN,Kenya,2006,699.80237063381,KEN,Kenya
JPN,Japan,2006,35991.546002862,JPN,Japan
IRN,"Iran, Islamic Rep.",2006,3618.91601364428,IRN,Iran
IND,India,2006,801.668353659022,IND,India
IDN,Indonesia,2006,1558.31562847163,IDN,Indonesia
HND,Honduras,2006,1425.84780051892,HND,Honduras
GTM,Guatemala,2006,2225.1234753878,GTM,Guatemala
GIN,Guinea,2006,446.980554135013,GIN,Guinea
ETH,Ethiopia,2006,189.345737521418,ETH,Ethiopia
CRI,Costa Rica,2006,5256.59640859159,CRI,Costa Rica
COL,Colombia,2006,3789.85361217027,COL,Colombia
CIV,Cote d'Ivoire,2006,1230.43056838584,CIV,Côte d'Ivoire
CHN,China,2006,2129.25696999613,CHN,China
BRA,Brazil,2006,5934.14561857454,BRA,Brazil
BGD,Bangladesh,2006,490.388026533289,BGD,Bangladesh
ARG,Argentina,2006,5869.38028970204,ARG,Argentina
VNM,Viet Nam,2007,925.640338348717,VNM,Vietnam
UGA,Uganda,2007,401.389130865581,UGA,Uganda
TZA,Tanzania,2007,543.198303222656,TZA,Tanzania
TUR,Turkiye,2007,9766.91734545294,TUR,Türkiye
RWA,Rwanda,2007,426.234183487629,RWA,Rwanda
PER,Peru,2007,3581.0893081917,PER,Peru
NIC,Nicaragua,2007,1350.38145753377,NIC,Nicaragua
MWI,Malawi,2007,475.180261659331,MWI,Malawi
MEX,Mexico,2007,10134.3327138119,MEX,Mexico
LKA,Sri Lanka,2007,1578.63451125392,LKA,Sri Lanka
KEN,Kenya,2007,840.201439476765,KEN,Kenya
JPN,Japan,2007,35779.0245416427,JPN,Japan
IRN,"Iran, Islamic Rep.",2007,4687.99166260718,IRN,Iran
IND,India,2007,1021.88707706826,IND,India
IDN,Indonesia,2007,1823.21976255073,IDN,Indonesia
HND,Honduras,2007,1577.73789197407,HND,Honduras
GTM,Guatemala,2007,2458.81573919384,GTM,Guatemala
GIN,Guinea,2007,650.148575304743,GIN,Guinea
ETH,Ethiopia,2007,237.146255996319,ETH,Ethiopia
CRI,Costa Rica,2007,6137.71199925542,CRI,Costa Rica
COL,Colombia,2007,4769.926147194,COL,Colombia
CIV,Cote d'Ivoire,2007,1367.53817722326,CIV,Côte d'Ivoire
CHN,China,2007,2734.72709877693,CHN,China
BRA,Brazil,2007,7409.69003822861,BRA,Brazil
BGD,Bangladesh,2007,537.955492792911,BGD,Bangladesh
ARG,Argentina,2007,7185.25155147027,ARG,Argentina
VNM,Viet Nam,2008,1163.83195772873,VNM,Vietnam
UGA,Uganda,2008,472.842681495852,UGA,Uganda
TZA,Tanzania,2008,675.977233886719,TZA,Tanzania
TUR,Turkiye,2008,10913.4079047769,TUR,Türkiye
RWA,Rwanda,2008,528.326391755502,RWA,Rwanda
PER,Peru,2008,4197.58444634142,PER,Peru
NIC,Nicaragua,2008,1523.68437086409,NIC,Nicaragua
MWI,Malawi,2008,554.048820396119,MWI,Malawi
MEX,Mexico,2008,10523.7685403244,MEX,Mexico
LKA,Sri Lanka,2008,1973.58476901287,LKA,Sri Lanka
KEN,Kenya,2008,915.54435473604,KEN,Kenya
JPN,Japan,2008,39876.3039685725,JPN,Japan
IRN,"Iran, Islamic Rep.",2008,5377.4115072957,IRN,Iran
IND,India,2008,992.519584923828,IND,India
IDN,Indonesia,2008,2124.55483920618,IDN,Indonesia
HND,Honduras,2008,1732.49062702803,HND,Honduras
GTM,Guatemala,2008,2763.05988172926,GTM,Guatemala
GIN,Guinea,2008,703.532825784369,GIN,Guinea
ETH,Ethiopia,2008,316.410475118075,ETH,Ethiopia
CRI,Costa Rica,2008,6937.24261596055,CRI,Costa Rica
COL,Colombia,2008,5541.83629665898,COL,Colombia
CIV,Cote d'Ivoire,2008,1583.97066701372,CIV,Côte d'Ivoire
CHN,China,2008,3523.44302065213,CHN,China
BRA,Brazil,2008,8908.33338467948,BRA,Brazil
BGD,Bangladesh,2008,613.06204104124,BGD,Bangladesh
ARG,Argentina,2008,8944.1102657357,ARG,Argentina
VNM,Viet Nam,2009,1226.16976051536,VNM,Vietnam
UGA,Uganda,2009,798.947089938247,UGA,Uganda
TZA,Tanzania,2009,693.823547363281,TZA,Tanzania
TUR,Turkiye,2009,9076.92472236977,TUR,Türkiye
RWA,Rwanda,2009,564.039095842449,RWA,Rwanda
PER,Peru,2009,4181.18755462253,PER,Peru
NIC,Nicaragua,2009,1467.08288052845,NIC,Nicaragua
MWI,Malawi,2009,625.869729869625,MWI,Malawi
MEX,Mexico,2009,8423.56933214711,MEX,Mexico
LKA,Sri Lanka,2009,2026.65939950702,LKA,Sri Lanka
KEN,Kenya,2009,1047.9678324485,KEN,Kenya
JPN,Japan,2009,41308.9968370512,JPN,Japan
IRN,"Iran, Islamic Rep.",2009,5415.52280553446,IRN,Iran
IND,India,2009,1094.94974598436,IND,India
IDN,Indonesia,2009,2218.48541852977,IDN,Indonesia
HND,Honduras,2009,1781.15703614674,HND,Honduras
GTM,Guatemala,2009,2611.64632773352,GTM,Guatemala
GIN,Guinea,2009,662.185914665575,GIN,Guinea
ETH,Ethiopia,2009,368.574712267445,ETH,Ethiopia
CRI,Costa Rica,2009,6832.69829924138,CRI,Costa Rica
COL,Colombia,2009,5250.97292433518,COL,Colombia
CIV,Cote d'Ivoire,2009,1540.45393569596,CIV,Côte d'Ivoire
CHN,China,2009,3898.24459158811,CHN,China
BRA,Brazil,2009,8678.6584730653,BRA,Brazil
BGD,Bangladesh,2009,679.211477428056,BGD,Bangladesh
ARG,Argentina,2009,8150.23527028221,ARG,Argentina
VNM,Viet Nam,2010,1683.16182443979,VNM,Vietnam
UGA,Uganda,2010,823.488144282,UGA,Uganda
TZA,Tanzania,2010,736.530151367188,TZA,Tanzania
TUR,Turkiye,2010,10698.9699409757,TUR,Türkiye
RWA,Rwanda,2010,593.624927744346,RWA,Rwanda
PER,Peru,2010,5072.11494019615,PER,Peru
NIC,Nicaragua,2010,1526.56706951408,NIC,Nicaragua
MWI,Malawi,2010,683.124694716799,MWI,Malawi
MEX,Mexico,2010,9728.80078377082,MEX,Mexico
LKA,Sri Lanka,2010,2808.36244503709,LKA,Sri Lanka
KEN,Kenya,2010,1091.51873101194,KEN,Kenya
JPN,Japan,2010,44968.1562349739,JPN,Japan
IRN,"Iran, Islamic Rep.",2010,6291.19443655454,IRN,Iran
IND,India,2010,1347.51939071367,IND,India
IDN,Indonesia,2010,3065.68348377765,IDN,Indonesia
HND,Honduras,2010,1893.32722662035,HND,Honduras
GTM,Guatemala,2010,2805.25960237322,GTM,Guatemala
GIN,Guinea,2010,659.235326211315,GIN,Guinea
ETH,Ethiopia,2010,330.619412798644,ETH,Ethiopia
CRI,Costa Rica,2010,8265.78820275582,CRI,Costa Rica
COL,Colombia,2010,6398.2958447102,COL,Colombia
CIV,Cote d'Ivoire,2010,1553.54887048143,CIV,Côte d'Ivoire
CHN,China,2010,4629.24551710077,CHN,China
BRA,Brazil,2010,11403.2840038694,BRA,Brazil
BGD,Bangladesh,2010,757.385280361508,BGD,Bangladesh
ARG,Argentina,2010,10260.1313108254,ARG,Argentina
VNM,Viet Nam,2011,1950.92504174913,VNM,Vietnam
UGA,Uganda,2011,835.620060555838,UGA,Uganda
TZA,Tanzania,2011,775.392761230469,TZA,Tanzania
TUR,Turkiye,2011,11373.6355760885,TUR,Türkiye
RWA,Rwanda,2011,651.133677964662,RWA,Rwanda
PER,Peru,2011,5861.35793645245,PER,Peru
NIC,Nicaragua,2011,1679.71192084633,NIC,Nicaragua
MWI,Malawi,2011,763.061000394572,MWI,Malawi
MEX,Mexico,2011,10664.4944032313,MEX,Mexico
LKA,Sri Lanka,2011,3224.95745150496,LKA,Sri Lanka
KEN,Kenya,2011,1096.14499807675,KEN,Kenya
JPN,Japan,2011,48760.0789494211,JPN,Japan
IRN,"Iran, Islamic Rep.",2011,8025.68743364356,IRN,Iran
IND,India,2011,1445.46127486037,IND,India
IDN,Indonesia,2011,3579.46442466152,IDN,Indonesia
HND,Honduras,2011,2073.66121088074,HND,Honduras
GTM,Guatemala,2011,3168.98370607705,GTM,Guatemala
GIN,Guinea,2011,636.694958747648,GIN,Guinea
ETH,Ethiopia,2011,343.024942351887,ETH,Ethiopia
CRI,Costa Rica,2011,9276.39107511347,CRI,Costa Rica
COL,Colombia,2011,7400.9940695669,COL,Colombia
CIV,Cote d'Ivoire,2011,1596.62826565998,CIV,Côte d'Ivoire
CHN,China,2011,5703.76027973346,CHN,China
BRA,Brazil,2011,13396.6263158041,BRA,Brazil
BGD,Bangladesh,2011,837.336944695647,BGD,Bangladesh
ARG,Argentina,2011,12704.2831819684,ARG,Argentina
VNM,Viet Nam,2012,2185.11767654291,VNM,Vietnam
UGA,Uganda,2012,795.222867553127,UGA,Uganda
TZA,Tanzania,2012,861.969909667969,TZA,Tanzania
TUR,Turkiye,2012,11776.7593362033,TUR,Türkiye
RWA,Rwanda,2012,706.817269168561,RWA,Rwanda
PER,Peru,2012,6519.37852981527,PER,Peru
NIC,Nicaragua,2012,1784.69836017555,NIC,Nicaragua
MWI,Malawi,2012,558.46208832772,MWI,Malawi
MEX,Mexico,2012,10744.1335242686,MEX,Mexico
LKA,Sri Lanka,2012,3327.77613691283,LKA,Sri Lanka
KEN,Kenya,2012,1285.00536171512,KEN,Kenya
JPN,Japan,2012,49145.2804308193,JPN,Japan
IRN,"Iran, Islamic Rep.",2012,8114.08099831877,IRN,Iran
IND,India,2012,1429.32199520032,IND,India
IDN,Indonesia,2012,3632.27254030331,IDN,Indonesia
HND,Honduras,2012,2126.03474686503,HND,Honduras
GTM,Guatemala,2012,3286.61959336267,GTM,Guatemala
GIN,Guinea,2012,699.353377212197,GIN,Guinea
ETH,Ethiopia,2012,452.101031885754,ETH,Ethiopia
CRI,Costa Rica,2012,10126.9991024177,CRI,Costa Rica
COL,Colombia,2012,8108.59838244229,COL,Colombia
CIV,Cote d'Ivoire,2012,1546.9460184731,CIV,Côte d'Ivoire
CHN,China,2012,6405.0574241349,CHN,China
BRA,Brazil,2012,12521.7238454434,BRA,Brazil
BGD,Bangladesh,2012,859.680536375497,BGD,Bangladesh
ARG,Argentina,2012,12949.717486654,ARG,Argentina
VNM,Viet Nam,2013,2359.51736472828,VNM,Vietnam
UGA,Uganda,2013,818.285427416713,UGA,Uganda
TZA,Tanzania,2013,963.05712890625,TZA,Tanzania
TUR,Turkiye,2013,12635.5570016068,TUR,Türkiye
RWA,Rwanda,2013,704.92421851123,RWA,Rwanda
PER,Peru,2013,6746.80025696601,PER,Peru
NIC,Nicaragua,2013,1835.43996363715,NIC,Nicaragua
MWI,Malawi,2013,496.947368267313,MWI,Malawi
MEX,Mexico,2013,11216.8008505428,MEX,Mexico
LKA,Sri Lanka,2013,3739.43181100202,LKA,Sri Lanka
KEN,Kenya,2013,1370.87885214659,KEN,Kenya
JPN,Japan,2013,40898.6478964744,JPN,Japan
IRN,"Iran, Islamic Rep.",2013,6222.74194840326,IRN,Iran
IND,India,2013,1432.84397512195,IND,India
IDN,Indonesia,2013,3566.60284506078,IDN,Indonesia
HND,Honduras,2013,2081.12843527945,HND,Honduras
GTM,Guatemala,2013,3444.15802275864,GTM,Guatemala
GIN,Guinea,2013,748.455020824734,GIN,Guinea
ETH,Ethiopia,2013,484.039833104062,ETH,Ethiopia
CRI,Costa Rica,2013,10803.2401962173,CRI,Costa Rica
COL,Colombia,2013,8279.10255642981,COL,Colombia
CIV,Cote d'Ivoire,2013,1786.15862031324,CIV,Côte d'Ivoire
CHN,China,2013,7147.03518622344,CHN,China
BRA,Brazil,2013,12458.8903396625,BRA,Brazil
BGD,Bangladesh,2013,958.262989798283,BGD,Bangladesh
ARG,Argentina,2013,12963.675773326,ARG,Argentina
VNM,Viet Nam,2014,2546.38464459903,VNM,Vietnam
UGA,Uganda,2014,896.054795546394,UGA,Uganda
TZA,Tanzania,2014,1022.74841308594,TZA,Tanzania
TUR,Turkiye,2014,12209.3862327674,TUR,Türkiye
RWA,Rwanda,2014,724.957526520906,RWA,Rwanda
PER,Peru,2014,6667.13410360861,PER,Peru
NIC,Nicaragua,2014,1958.37047579547,NIC,Nicaragua
MWI,Malawi,2014,529.5133440206,MWI,Malawi
MEX,Mexico,2014,11391.3773497683,MEX,Mexico
LKA,Sri Lanka,2014,3972.04375736464,LKA,Sri Lanka
KEN,Kenya,2014,1482.81566253497,KEN,Kenya
JPN,Japan,2014,38475.3952461838,JPN,Japan
IRN,"Iran, Islamic Rep.",2014,5672.06372896319,IRN,Iran
IND,India,2014,1553.88396075118,IND,India
IDN,Indonesia,2014,3441.06808464008,IDN,Indonesia
HND,Honduras,2014,2179.88171977271,HND,Honduras
GTM,Guatemala,2014,3689.14510410202,GTM,Guatemala
GIN,Guinea,2014,765.146999389279,GIN,Guinea
ETH,Ethiopia,2014,549.986577082588,ETH,Ethiopia
CRI,Costa Rica,2014,10911.497878334,CRI,Costa Rica
COL,Colombia,2014,8187.20824890084,COL,Colombia
CIV,Cote d'Ivoire,2014,1991.36539423404,CIV,Côte d'Ivoire
CHN,China,2014,7781.06597484974,CHN,China
BRA,Brazil,2014,12274.9941630213,BRA,Brazil
BGD,Bangladesh,2014,1094.46199702838,BGD,Bangladesh
ARG,Argentina,2014,12233.1444119186,ARG,Argentina
VNM,Viet Nam,2015,2577.56885340113,VNM,Vietnam
UGA,Uganda,2015,862.934610355811,UGA,Uganda
TZA,Tanzania,2015,939.127319335938,TZA,Tanzania
TUR,Turkiye,2015,11064.6494504662,TUR,Türkiye
RWA,Rwanda,2015,733.998629882494,RWA,Rwanda
PER,Peru,2015,6231.71150338894,PER,Peru
NIC,Nicaragua,2015,2074.45620634731,NIC,Nicaragua
MWI,Malawi,2015,539.605363240686,MWI,Malawi
MEX,Mexico,2015,10021.2386118827,MEX,Mexico
LKA,Sri Lanka,2015,4057.7158346231,LKA,Sri Lanka
KEN,Kenya,2015,1489.11959777284,KEN,Kenya
JPN,Japan,2015,34960.6393843385,JPN,Japan
IRN,"Iran, Islamic Rep.",2015,4952.73355532178,IRN,Iran
IND,India,2015,1583.99815907985,IND,India
IDN,Indonesia,2015,3288.22269725538,IDN,Indonesia
HND,Honduras,2015,2271.20265980349,HND,Honduras
GTM,Guatemala,2015,3893.50533299068,GTM,Guatemala
GIN,Guinea,2015,747.356966759448,GIN,Guinea
ETH,Ethiopia,2015,597.912113218663,ETH,Ethiopia
CRI,Costa Rica,2015,11714.7105980732,CRI,Costa Rica
COL,Colombia,2015,6248.51490534512,COL,Colombia
CIV,Cote d'Ivoire,2015,1814.71855088017,CIV,Côte d'Ivoire
CHN,China,2015,8175.33285077393,CHN,China
BRA,Brazil,2015,8936.1955889444,BRA,Brazil
BGD,Bangladesh,2015,1224.38647668165,BGD,Bangladesh
ARG,Argentina,2015,13679.6264980954,ARG,Argentina
VNM,Viet Nam,2016,2735.0604380416,VNM,Vietnam
UGA,Uganda,2016,752.696571725656,UGA,Uganda
TZA,Tanzania,2016,953.0107421875,TZA,Tanzania
TUR,Turkiye,2016,10984.3643169061,TUR,Türkiye
RWA,Rwanda,2016,729.519133812945,RWA,Rwanda
PER,Peru,2016,6217.03599995447,PER,Peru
NIC,Nicaragua,2016,2131.68704828322,NIC,Nicaragua
MWI,Malawi,2016,450.506105510719,MWI,Malawi
MEX,Mexico,2016,9097.92397674769,MEX,Mexico
LKA,Sri Lanka,2016,4149.19190775593,LKA,Sri Lanka
KEN,Kenya,2016,1554.12610314423,KEN,Kenya
JPN,Japan,2016,39375.4731620781,JPN,Japan
IRN,"Iran, Islamic Rep.",2016,5710.59947089104,IRN,Iran
IND,India,2016,1707.50892912243,IND,India
IDN,Indonesia,2016,3521.46943457574,IDN,Indonesia
HND,Honduras,2016,2307.34468351082,HND,Honduras
GTM,Guatemala,2016,4060.13784737643,GTM,Guatemala
GIN,Guinea,2016,711.996509782316,GIN,Guinea
ETH,Ethiopia,2016,641.651523286233,ETH,Ethiopia
CRI,Costa Rica,2016,12091.0301606154,CRI,Costa Rica
COL,Colombia,2016,5959.84250367574,COL,Colombia
CIV,Cote d'Ivoire,2016,1862.59597081287,CIV,Côte d'Ivoire
CHN,China,2016,8254.86859320357,CHN,China
BRA,Brazil,2016,8836.28546025694,BRA,Brazil
BGD,Bangladesh,2016,1649.28380858601,BGD,Bangladesh
ARG,Argentina,2016,12699.9623137756,ARG,Argentina
VNM,Viet Nam,2017,2956.10992127753,VNM,Vietnam
UGA,Uganda,2017,765.218332297361,UGA,Uganda
TZA,Tanzania,2017,986.674011230469,TZA,Tanzania
TUR,Turkiye,2017,10756.3877677883,TUR,Türkiye
RWA,Rwanda,2017,758.300966509647,RWA,Rwanda
PER,Peru,2017,6736.16693725487,PER,Peru
NIC,Nicaragua,2017,2182.61380995674,NIC,Nicaragua
MWI,Malawi,2017,495.769683367165,MWI,Malawi
MEX,Mexico,2017,9649.27816772402,MEX,Mexico
LKA,Sri Lanka,2017,4398.88828068715,LKA,Sri Lanka
KEN,Kenya,2017,1667.48447230835,KEN,Kenya
JPN,Japan,2017,38834.0529341227,JPN,Japan
IRN,"Iran, Islamic Rep.",2017,6000.93346404409,IRN,Iran
IND,India,2017,1950.10468280866,IND,India
IDN,Indonesia,2017,3798.88326174526,IDN,Indonesia
HND,Honduras,2017,2413.0076562942,HND,Honduras
GTM,Guatemala,2017,4324.99768915601,GTM,Guatemala
GIN,Guinea,2017,833.598621691121,GIN,Guinea
ETH,Ethiopia,2017,696.348429076216,ETH,Ethiopia
CRI,Costa Rica,2017,12317.0902771304,CRI,Costa Rica
COL,Colombia,2017,6479.53231292429,COL,Colombia
CIV,Cote d'Ivoire,2017,1964.29930338343,CIV,Côte d'Ivoire
CHN,China,2017,8979.67652709856,CHN,China
BRA,Brazil,2017,10080.5078722821,BRA,Brazil
BGD,Bangladesh,2017,1811.08221668646,BGD,Bangladesh
